TransactionId,LicenseId,Action,Hash,Package,MobileModel,MobileManufacturer,UniqueDeviceId,TransactionTimeinEPOCH,TransactionTimeinUTC,CreatedAtUTC,CardType,SdkVersion,TransactionType,DocSubType,CardSide,CardFrom
OCR170599109313867d2bf96a595e,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,2304FPN6DG,Xiaomi,13867d2bf96a595e,1705991093213,"2024-01-23 06:24:53","2024-01-23 06:25 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR1705991119c1728804e6ac8d94,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,CPH2239,OPPO,c1728804e6ac8d94,1705991119405,"2024-01-23 06:25:19","2024-01-23 06:27 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR17059912070b68984f78339d50,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,SM-A047M,samsung,0b68984f78339d50,1705991207330,"2024-01-23 06:26:47","2024-01-23 06:28 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR17059912672c683304023cacaf,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,TFY-LX3,HONOR,2c683304023cacaf,1705991267725,"2024-01-23 06:27:47","2024-01-23 06:28 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR17059913004dbbb123c85ab8b6,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,"motorola edge 20",motorola,4dbbb123c85ab8b6,1705991300665,"2024-01-23 06:28:20","2024-01-23 06:28 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR1705991318812c172de446ac50,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,SM-A226BR,samsung,812c172de446ac50,1705991318678,"2024-01-23 06:28:38","2024-01-23 06:29 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR17059913422c683304023cacaf,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,TFY-LX3,HONOR,2c683304023cacaf,1705991342906,"2024-01-23 06:29:02","2024-01-23 06:29 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR1705991373a61b12fb273f2a48,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,SM-G975U,samsung,a61b12fb273f2a48,1705991373174,"2024-01-23 06:29:33","2024-01-23 06:30 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR17059914674dbbb123c85ab8b6,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,"motorola edge 20",motorola,4dbbb123c85ab8b6,1705991467291,"2024-01-23 06:31:07","2024-01-23 06:31 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170599145913867d2bf96a595e,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,2304FPN6DG,Xiaomi,13867d2bf96a595e,1705991459246,"2024-01-23 06:30:59","2024-01-23 06:31 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
OCR170599152213867d2bf96a595e,2172,CAPTURE,79EF7554CC46127FDB5C007E5D9FDB0E86872E14,mx.bancosantander.supermovil,2304FPN6DG,Xiaomi,13867d2bf96a595e,1705991522409,"2024-01-23 06:32:02","2024-01-23 06:32 AM",MEX_NATIONAL_ID,2.12.6,VALID,,,
